item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,Living room,Bedroom,Office,Kitchen,Dining room,Entrance,Playroom,Nursery,Outdoor,space,size_cluster,size_category,rooms,cluster
10385950,KOPPANG,Chests of drawers & drawer units,395.0,No old price,True,https://www.ikea.com/sa/en/p/koppang-chest-of-3-drawers-white-10385950/,No,"        Chest of 3 drawers,          90x83 cm",K Hagberg/M Hagberg,46.0,83.0,90.0,1,1,0,0,0,1,0,0,0,343620.0,1,medium,"Living room, Bedroom, Entrance",7.0
70455412,KORNSJÖ,Tables & desks,195.0,No old price,True,https://www.ikea.com/sa/en/p/kornsjoe-side-table-black-70455412/,No,"        Side table,          50x35 cm",Ebba Strandmark,35.0,63.0,50.0,1,0,1,1,1,0,0,0,0,110250.0,1,medium,"Living room, Office, Kitchen, Dining room",5.0
90471581,KORNSJÖ,Chairs,375.0,No old price,True,https://www.ikea.com/sa/en/p/kornsjoe-storage-bench-black-90471581/,No,        Storage bench,Ebba Strandmark,47.0,51.0,70.0,1,0,1,1,1,0,0,0,0,167790.0,1,medium,"Living room, Office, Kitchen, Dining room",5.0
10455410,KORNSJÖ,Tables & desks,745.0,No old price,True,https://www.ikea.com/sa/en/p/kornsjoe-cabinet-with-mirror-black-10455410/,No,"        Cabinet with mirror,          70x47 cm",Ebba Strandmark,47.0,187.0,70.0,1,0,1,1,1,0,0,0,0,615230.0,0,small,"Living room, Office, Kitchen, Dining room",5.0
90452587,KRAGSTA,Tables & desks,495.0,No old price,True,https://www.ikea.com/sa/en/p/kragsta-coffee-table-dark-blue-green-90452587/,Yes,"        Coffee table,          90 cm",Carina Bengs,60.78595095946983,48.0,81.1644439544695,1,0,1,1,1,0,0,0,0,236815.579673713,1,medium,"Living room, Office, Kitchen, Dining room",7.0
70452593,KRAGSTA,Tables & desks,595.0,No old price,True,https://www.ikea.com/sa/en/p/kragsta-nest-of-tables-set-of-2-dark-blue-green-70452593/,Yes,"        Nest of tables, set of 2",Carina Bengs,47.698122533284824,111.99037943493346,110.3454141354662,1,0,1,1,1,0,0,0,0,589435.5018322975,1,medium,"Living room, Office, Kitchen, Dining room",7.0
30250257,KRILLE,Tables & desks,75.0,No old price,True,https://www.ikea.com/sa/en/p/krille-leg-with-castor-white-30250257/,No,"        Leg with castor,          70 cm",Francis Cayouette,59.63877238407019,70.0,67.1058736700147,1,0,1,1,1,0,0,0,0,280147.8347808123,1,medium,"Living room, Office, Kitchen, Dining room",7.0
69185435,KRITTER,Beds,360.0,No old price,True,https://www.ikea.com/sa/en/p/kritter-bed-frame-with-slatted-bed-base-white-s69185435/,No,"        Bed frame with slatted bed base,          70x160 cm",IKEA of Sweden/Anna Efverlund,48.77459914732759,101.09528433797722,75.0,0,1,0,0,0,0,0,0,0,369816.1476952458,1,medium,Bedroom,7.0
80336466,KROKHOLMEN,Outdoor furniture,175.0,No old price,True,https://www.ikea.com/sa/en/p/krokholmen-coffee-table-outdoor-beige-80336466/,No,"        Coffee table, outdoor",Marcus Arvonen,60.99452888226977,44.0,67.44835404706359,0,0,0,0,0,0,0,0,1,181015.1454753478,1,medium,Outdoor,10.0
20411072,KUDDARNA,Outdoor furniture,29.0,No old price,True,https://www.ikea.com/sa/en/p/kuddarna-chair-cushion-outdoor-light-blue-20411072/,No,"        Chair cushion, outdoor,          36x32 cm",IKEA of Sweden,32.0,103.12060190045602,36.0,0,0,0,0,0,0,0,0,1,118794.93338932534,1,medium,Outdoor,5.0
411092,KUDDARNA,Outdoor furniture,39.0,No old price,True,https://www.ikea.com/sa/en/p/kuddarna-chair-cushion-outdoor-light-blue-00411092/,No,"        Chair cushion, outdoor,          44x44 cm",IKEA of Sweden,44.0,94.61518141139237,44.0,0,0,0,0,0,0,0,0,1,183174.99121245564,1,medium,Outdoor,5.0
40411047,KUDDARNA,Outdoor furniture,45.0,No old price,True,https://www.ikea.com/sa/en/p/kuddarna-back-cushion-outdoor-beige-40411047/,No,"        Back cushion, outdoor,          62x44 cm",IKEA of Sweden,46.60682944551544,95.78076451753296,62.0,0,0,0,0,0,0,0,0,1,276770.3408738436,1,medium,Outdoor,5.0
90417914,KUDDARNA,Outdoor furniture,49.0,No old price,True,https://www.ikea.com/sa/en/p/kuddarna-chair-cushion-outdoor-light-blue-90417914/,No,"        Chair cushion, outdoor,          50x50 cm",IKEA of Sweden,50.0,90.80176826924163,50.0,0,0,0,0,0,0,0,0,1,227004.4206731041,1,medium,Outdoor,5.0
40411108,KUDDARNA,Outdoor furniture,75.0,No old price,True,https://www.ikea.com/sa/en/p/kuddarna-seat-cushion-outdoor-beige-40411108/,No,"        Seat cushion, outdoor,          62x62 cm",IKEA of Sweden,62.0,83.26596354281489,62.0,0,0,0,0,0,0,0,0,1,320074.3638585804,1,medium,Outdoor,5.0
20411133,KUDDARNA,Outdoor furniture,95.0,No old price,True,https://www.ikea.com/sa/en/p/kuddarna-seat-back-cushion-outdoor-light-blue-20411133/,No,"        Seat/back cushion, outdoor,          116x45 cm",IKEA of Sweden,43.77205368160723,95.83850084256471,45.0,0,0,0,0,0,0,0,0,1,188777.16016404761,1,medium,Outdoor,7.0
